,ID,Label,Category,Set
610,B,ohp,heavy,Mid
611,B,ohp,heavy,Mid
612,B,ohp,heavy,Mid
613,B,ohp,heavy,Mid
614,B,ohp,heavy,Mid
615,B,ohp,heavy,Mid
616,B,ohp,heavy,Mid
617,B,ohp,heavy,Mid
618,B,ohp,heavy,Mid
619,B,ohp,heavy,Mid
620,B,ohp,heavy,Mid
621,B,ohp,heavy,Mid
622,B,ohp,heavy,Mid
623,B,ohp,heavy,Mid
624,B,ohp,heavy,Mid
625,B,ohp,heavy,Mid
626,B,ohp,heavy,Mid
627,B,ohp,heavy,Mid
628,B,ohp,heavy,Mid
629,B,ohp,heavy,Mid
630,B,ohp,heavy,Mid
631,B,ohp,heavy,Mid
632,B,ohp,heavy,Mid
633,A,ohp,heavy,Mid
634,A,ohp,heavy,Mid
635,A,ohp,heavy,Mid
636,A,ohp,heavy,Mid
637,A,ohp,heavy,Mid
638,A,ohp,heavy,Mid
639,A,ohp,heavy,Mid
640,A,ohp,heavy,Mid
641,A,ohp,heavy,Mid
642,A,ohp,heavy,Mid
643,A,ohp,heavy,Mid
644,A,ohp,heavy,Mid
645,A,ohp,heavy,Mid
646,A,ohp,heavy,Mid
647,A,ohp,heavy,Mid
648,A,ohp,heavy,Mid
649,A,ohp,heavy,Mid
650,A,ohp,heavy,Mid
651,A,ohp,heavy,Mid
652,A,ohp,heavy,Mid
653,A,ohp,heavy,Mid
654,A,ohp,heavy,Mid
655,A,ohp,heavy,Mid
656,A,ohp,heavy,Mid
657,A,ohp,heavy,Mid
658,A,ohp,heavy,
659,A,ohp,heavy,Mid
660,A,ohp,heavy,Mid
661,A,ohp,heavy,Mid
662,A,ohp,heavy,Mid
663,A,ohp,heavy,Mid
664,A,ohp,heavy,Mid
665,A,ohp,heavy,Mid
666,A,ohp,heavy,Mid
667,A,ohp,heavy,Mid
668,A,ohp,heavy,Mid
669,A,ohp,heavy,Mid
670,A,ohp,heavy,Mid
671,A,ohp,heavy,Mid
672,A,ohp,heavy,Mid
673,A,ohp,heavy,Mid
674,A,ohp,heavy,Mid
675,A,ohp,heavy,Mid
676,A,ohp,heavy,Mid
677,A,ohp,heavy,Mid
678,A,ohp,heavy,Mid
679,A,ohp,heavy,Mid
680,A,ohp,heavy,Mid
681,A,ohp,heavy,Mid
682,A,ohp,heavy,Mid
683,A,ohp,heavy,Mid
684,A,ohp,heavy,Mid
685,A,ohp,heavy,Mid
686,A,ohp,heavy,Mid
687,A,ohp,heavy,Mid
688,A,ohp,heavy,Mid
689,A,ohp,heavy,Mid
690,A,ohp,heavy,Mid
691,A,ohp,heavy,Mid
692,A,ohp,heavy,Mid
693,A,ohp,heavy,Mid
694,A,ohp,heavy,Mid
695,A,ohp,heavy,Mid
696,A,ohp,heavy,Mid
697,A,ohp,heavy,Mid
698,A,ohp,heavy,Mid
699,A,ohp,heavy,Mid
700,A,ohp,heavy,Mid
701,A,ohp,heavy,Mid
702,A,ohp,heavy,Mid
703,A,ohp,heavy,Mid
704,A,ohp,heavy,Mid
705,A,ohp,heavy,Mid
706,A,ohp,heavy,Mid
708,A,ohp,heavy,Mid
709,B,ohp,heavy,Low
710,B,ohp,heavy,Low
711,B,ohp,heavy,Low
712,B,ohp,heavy,Low
713,B,ohp,heavy,Low
716,B,ohp,heavy,Low
717,B,ohp,heavy,Low
718,B,ohp,heavy,Low
719,B,ohp,heavy,Low
720,B,ohp,heavy,Low
721,B,ohp,heavy,Low
722,B,ohp,heavy,Low
724,B,ohp,heavy,Low
725,B,ohp,heavy,Low
726,B,ohp,heavy,Low
727,B,ohp,heavy,Low
728,B,ohp,heavy,Low
729,B,ohp,heavy,Low
730,B,ohp,heavy,Low
731,B,ohp,heavy,Low
732,B,ohp,heavy,Low
733,B,ohp,heavy,Low
734,B,ohp,heavy,Low
735,B,ohp,heavy,Low
736,B,ohp,heavy,Low
738,B,ohp,heavy,Low
739,B,ohp,heavy,Low
740,B,ohp,heavy,Low
741,B,ohp,heavy,Low
742,B,ohp,heavy,Low
743,B,ohp,heavy,Low
744,B,ohp,heavy,Low
745,B,ohp,heavy,Low
746,B,ohp,heavy,Low
747,B,ohp,heavy,Low
748,B,ohp,heavy,Low
749,B,ohp,heavy,Low
750,B,ohp,heavy,Low
751,B,ohp,heavy,Low
752,B,ohp,heavy,Low
753,B,ohp,heavy,Low
754,B,ohp,heavy,Low
755,B,ohp,heavy,Low
756,B,ohp,heavy,Low
